0,73,86,77,61,17,85,56,38,89,50,57,50,17,34,11,78,48,45,10,83,35,35,23,49,50,36,34,52,94,14,19,68,58,63,79,41,48,20,14,56,31,86,71,53,11,22,58,82,1
73,0,39,80,24,20,5,53,81,67,76,71,23,34,91,53,49,66,84,2,24,72,23,80,74,38,92,67,83,70,29,60,68,47,96,26,3,44,3,24,18,17,71,49,53,43,44,39,36,85
86,39,0,30,99,56,41,5,71,10,51,95,6,40,95,88,8,68,59,24,49,59,49,14,72,45,40,94,21,41,36,42,65,80,85,81,86,60,21,91,53,23,13,95,12,33,73,17,2,52
77,80,30,0,27,74,31,52,69,73,93,38,89,9,12,8,22,67,3,63,26,2,51,89,53,14,9,53,81,43,8,10,80,71,83,17,48,87,47,51,13,37,4,9,93,60,50,8,26,98
61,24,99,27,0,48,65,68,18,74,77,29,7,71,30,34,90,83,43,43,94,79,27,63,88,68,54,41,15,67,59,87,87,14,58,17,27,73,2,27,19,36,52,85,58,54,88,88,12,27
17,20,56,74,48,0,72,23,67,26,1,18,32,55,28,10,54,87,47,56,12,86,70,79,82,67,72,16,82,39,8,70,64,25,21,47,40,35,33,86,69,50,46,49,57,25,76,80,49,91
85,5,41,31,65,72,0,72,39,16,47,66,25,1,15,65,96,45,75,21,22,79,54,9,60,1,10,86,95,59,91,56,71,76,92,6,15,3,47,39,70,70,28,57,54,52,74,29,19,16
56,53,5,52,68,23,72,0,87,98,92,29,29,82,55,90,35,32,55,20,76,39,88,47,69,73,34,40,65,43,90,81,60,27,25,90,94,33,47,36,7,87,73,41,35,72,53,79,91,43
38,81,71,69,18,67,39,87,0,58,29,25,26,19,5,84,42,51,44,41,79,5,3,82,33,8,1,61,16,38,31,19,78,67,23,66,64,10,39,20,52,50,7,31,25,92,14,91,68,81
89,67,10,73,74,26,16,98,58,0,95,47,79,81,76,52,27,52,32,4,37,62,89,66,31,1,89,53,33,36,69,29,99,31,14,78,9,97,84,14,59,98,77,63,24,36,48,89,92,93
50,76,51,93,77,1,47,92,29,95,0,6,67,28,31,81,19,41,75,99,68,18,50,13,38,31,69,82,49,64,2,14,67,86,31,93,33,70,38,33,30,51,28,51,29,36,65,44,88,28
57,71,95,38,29,18,66,29,25,47,6,0,37,37,64,42,76,94,64,41,15,50,1,36,37,50,15,16,95,55,88,47,59,36,23,58,55,91,85,71,5,69,11,46,63,65,30,2,94,78
50,23,6,89,7,32,25,29,26,79,67,37,0,81,67,5,94,24,77,48,70,94,79,68,54,77,17,77,59,88,60,10,73,73,74,86,8,98,37,84,27,5,80,41,91,77,30,7,40,32
17,34,40,9,71,55,1,82,19,81,28,37,81,0,46,82,16,7,70,18,40,18,38,51,18,63,61,23,26,67,62,21,51,60,68,25,9,10,45,69,29,39,96,79,26,21,52,58,9,28
34,91,95,12,30,28,15,55,5,76,31,64,67,46,0,28,57,35,31,38,33,20,98,24,41,21,82,99,80,48,93,30,29,46,36,77,81,5,9,82,5,27,15,7,70,24,66,55,3,51
11,53,88,8,34,10,65,90,84,52,81,42,5,82,28,0,70,46,58,69,54,43,7,12,34,62,70,68,24,58,49,70,44,43,97,48,45,6,41,77,55,69,44,33,85,16,64,23,9,73
78,49,8,22,90,54,96,35,42,27,19,76,94,16,57,70,0,39,10,95,60,78,20,90,98,77,65,51,58,24,60,34,82,21,25,35,68,11,37,9,90,94,58,80,62,65,56,1,79,89
48,66,68,67,83,87,45,32,51,52,41,94,24,7,35,46,39,0,37,69,81,92,42,51,92,65,95,72,54,74,24,15,55,30,2,75,19,7,31,30,63,14,58,83,80,99,82,37,36,21
45,84,59,3,43,47,75,55,44,32,75,64,77,70,31,58,10,37,0,58,25,33,5,85,22,30,41,6,48,28,75,9,28,81,49,83,57,13,92,19,74,90,1,8,66,47,60,12,4,11
10,2,24,63,43,56,21,20,41,4,99,41,48,18,38,69,95,69,58,0,73,53,10,9,56,12,56,63,78,28,73,15,72,29,86,16,13,76,13,43,78,84,23,91,85,87,8,12,52,63
83,24,49,26,94,12,22,76,79,37,68,15,70,40,33,54,60,81,25,73,0,35,66,50,13,18,51,38,58,54,56,13,96,80,1,51,95,22,94,36,81,26,8,32,6,95,62,73,44,14
35,72,59,2,79,86,79,39,5,62,18,50,94,18,20,43,78,92,33,53,35,0,94,36,42,7,7,66,9,89,56,17,45,68,37,25,28,44,41,52,67,7,90,74,73,46,48,95,85,95
35,23,49,51,27,70,54,88,3,89,50,1,79,38,98,7,20,42,5,10,66,94,0,18,4,73,25,65,16,2,50,86,92,10,5,11,29,56,74,33,8,56,99,69,30,40,8,71,82,87
23,80,14,89,63,79,9,47,82,66,13,36,68,51,24,12,90,51,85,9,50,36,18,0,51,95,28,89,96,37,37,59,43,61,75,1,19,5,4,22,16,37,74,22,3,79,11,29,68,80
49,74,72,53,88,82,60,69,33,31,38,37,54,18,41,34,98,92,22,56,13,42,4,51,0,42,93,37,59,86,90,80,21,21,73,41,41,34,26,1,5,2,65,5,43,32,25,40,88,10
50,38,45,14,68,67,1,73,8,1,31,50,77,63,21,62,77,65,30,12,18,7,73,95,42,0,67,5,32,61,71,37,60,52,56,17,46,71,97,30,24,68,8,60,80,99,36,63,59,74
36,92,40,9,54,72,10,34,1,89,69,15,17,61,82,70,65,95,41,56,51,7,25,28,93,67,0,22,17,39,24,2,52,49,70,37,17,21,51,59,5,83,80,16,65,84,21,28,20,66
34,67,94,53,41,16,86,40,61,53,82,16,77,23,99,68,51,72,6,63,38,66,65,89,37,5,22,0,70,78,86,65,26,10,84,23,92,52,31,82,53,46,52,85,24,58,92,77,13,75
52,83,21,81,15,82,95,65,16,33,49,95,59,26,80,24,58,54,48,78,58,9,16,96,59,32,17,70,0,80,25,20,68,52,53,37,79,45,4,53,65,83,68,7,26,81,48,26,3,97
94,70,41,43,67,39,59,43,38,36,64,55,88,67,48,58,24,74,28,28,54,89,2,37,86,61,39,78,80,0,81,54,8,14,30,13,78,28,62,7,67,79,43,77,62,33,78,25,46,15
14,29,36,8,59,8,91,90,31,69,2,88,60,62,93,49,60,24,75,73,56,56,50,37,90,71,24,86,25,81,0,64,91,19,67,89,93,55,85,83,57,41,1,61,81,61,60,48,59,58
19,60,42,10,87,70,56,81,19,29,14,47,10,21,30,70,34,15,9,15,13,17,86,59,80,37,2,65,20,54,64,0,18,15,30,24,34,88,61,7,42,30,58,11,29,29,93,88,59,49
68,68,65,80,87,64,71,60,78,99,67,59,73,51,29,44,82,55,28,72,96,45,92,43,21,60,52,26,68,8,91,18,0,19,84,88,86,19,18,89,15,94,77,53,21,7,78,75,90,22
58,47,80,71,14,25,76,27,67,31,86,36,73,60,46,43,21,30,81,29,80,68,10,61,21,52,49,10,52,14,19,15,19,0,30,91,43,73,67,64,21,97,51,86,82,98,43,97,54,51
63,96,85,83,58,21,92,25,23,14,31,23,74,68,36,97,25,2,49,86,1,37,5,75,73,56,70,84,53,30,67,30,84,30,0,66,77,44,35,78,5,44,44,32,64,38,83,32,66,67
79,26,81,17,17,47,6,90,66,78,93,58,86,25,77,48,35,75,83,16,51,25,11,1,41,17,37,23,37,13,89,24,88,91,66,0,39,14,82,78,8,21,25,74,29,23,33,23,44,62
41,3,86,48,27,40,15,94,64,9,33,55,8,9,81,45,68,19,57,13,95,28,29,19,41,46,17,92,79,78,93,34,86,43,77,39,0,82,71,52,55,42,60,93,89,92,57,68,73,96
48,44,60,87,73,35,3,33,10,97,70,91,98,10,5,6,11,7,13,76,22,44,56,5,34,71,21,52,45,28,55,88,19,73,44,14,82,0,80,25,99,87,48,60,85,56,33,84,36,30
20,3,21,47,2,33,47,47,39,84,38,85,37,45,9,41,37,31,92,13,94,41,74,4,26,97,51,31,4,62,85,61,18,67,35,82,71,80,0,36,96,62,62,21,12,36,30,78,36,47
14,24,91,51,27,86,39,36,20,14,33,71,84,69,82,77,9,30,19,43,36,52,33,22,1,30,59,82,53,7,83,7,89,64,78,78,52,25,36,0,94,3,70,39,2,14,15,16,5,62
56,18,53,13,19,69,70,7,52,59,30,5,27,29,5,55,90,63,74,78,81,67,8,16,5,24,5,53,65,67,57,42,15,21,5,8,55,99,96,94,0,95,83,35,25,63,44,11,6,76
31,17,23,37,36,50,70,87,50,98,51,69,5,39,27,69,94,14,90,84,26,7,56,37,2,68,83,46,83,79,41,30,94,97,44,21,42,87,62,3,95,0,16,33,21,6,21,48,67,44
86,71,13,4,52,46,28,73,7,77,28,11,80,96,15,44,58,58,1,23,8,90,99,74,65,8,80,52,68,43,1,58,77,51,44,25,60,48,62,70,83,16,0,78,35,44,54,65,35,19
71,49,95,9,85,49,57,41,31,63,51,46,41,79,7,33,80,83,8,91,32,74,69,22,5,60,16,85,7,77,61,11,53,86,32,74,93,60,21,39,35,33,78,0,46,91,41,74,65,68
53,53,12,93,58,57,54,35,25,24,29,63,91,26,70,85,62,80,66,85,6,73,30,3,43,80,65,24,26,62,81,29,21,82,64,29,89,85,12,2,25,21,35,46,0,48,19,86,50,33
11,43,33,60,54,25,52,72,92,36,36,65,77,21,24,16,65,99,47,87,95,46,40,79,32,99,84,58,81,33,61,29,7,98,38,23,92,56,36,14,63,6,44,91,48,0,55,31,90,35
22,44,73,50,88,76,74,53,14,48,65,30,30,52,66,64,56,82,60,8,62,48,8,11,25,36,21,92,48,78,60,93,78,43,83,33,57,33,30,15,44,21,54,41,19,55,0,32,64,25
58,39,17,8,88,80,29,79,91,89,44,2,7,58,55,23,1,37,12,12,73,95,71,29,40,63,28,77,26,25,48,88,75,97,32,23,68,84,78,16,11,48,65,74,86,31,32,0,70,48
82,36,2,26,12,49,19,91,68,92,88,94,40,9,3,9,79,36,4,52,44,85,82,68,88,59,20,13,3,46,59,59,90,54,66,44,73,36,36,5,6,67,35,65,50,90,64,70,0,1
1,85,52,98,27,91,16,43,81,93,28,78,32,28,51,73,89,21,11,63,14,95,87,80,10,74,66,75,97,15,58,49,22,51,67,62,96,30,47,62,76,44,19,68,33,35,25,48,1,0
