0,95,24,21,3,80,10,63,59,25,75,50,80,40,22,32,61,57,42,55,3,41,9,68,4,81,67,77,22,91
95,0,60,33,51,19,72,13,30,2,85,6,3,36,53,8,90,63,65,13,81,31,82,86,48,97,81,49,69,54
24,60,0,40,91,15,92,15,21,3,7,26,61,1,81,53,89,30,54,8,56,53,41,94,95,88,60,56,10,25
21,33,40,0,27,47,48,3,2,49,50,5,16,97,67,65,57,16,86,46,52,10,30,76,93,75,1,69,14,30
3,51,91,27,0,23,56,6,37,48,10,48,50,22,18,17,26,18,61,22,68,41,43,63,35,58,38,48,5,87
80,19,15,47,23,0,10,95,16,39,27,83,48,62,55,30,31,50,23,90,58,81,88,71,27,29,78,44,16,68
10,72,92,48,56,10,0,63,63,71,63,30,93,31,66,30,51,67,27,90,9,33,52,33,61,9,88,65,50,38
63,13,15,3,6,95,63,0,81,34,9,57,23,73,70,62,5,92,6,18,13,75,26,59,17,62,26,29,99,66
59,30,21,2,37,16,63,81,0,26,25,65,86,64,31,76,6,40,19,99,42,25,43,30,69,86,9,61,30,69
25,2,3,49,48,39,71,34,26,0,77,38,71,44,38,19,19,69,54,18,23,80,39,53,82,34,4,27,40,47
75,85,7,50,10,27,63,9,25,77,0,83,91,98,44,44,73,53,12,13,3,70,46,61,64,2,36,65,46,11
50,6,26,5,48,83,30,57,65,38,83,0,91,51,96,84,60,28,6,76,28,84,61,49,10,99,33,17,19,23
80,3,61,16,50,48,93,23,86,71,91,91,0,30,51,87,9,19,30,85,84,29,5,8,85,92,94,2,92,4
40,36,1,97,22,62,31,73,64,44,98,51,30,0,58,59,41,72,69,12,38,93,66,20,30,36,91,27,18,39
22,53,81,67,18,55,66,70,31,38,44,96,51,58,0,82,34,82,78,62,12,77,28,49,32,67,66,60,33,73
32,8,53,65,17,30,30,62,76,19,44,84,87,59,82,0,46,96,65,14,86,1,88,62,49,99,79,52,9,3
61,90,89,57,26,31,51,5,6,19,73,60,9,41,34,46,0,17,84,57,25,23,25,47,69,53,23,51,23,62
57,63,30,16,18,50,67,92,40,69,53,28,19,72,82,96,17,0,27,36,77,43,76,55,26,4,84,62,71,66
42,65,54,86,61,23,27,6,19,54,12,6,30,69,78,65,84,27,0,44,87,42,48,40,96,34,4,43,85,74
55,13,8,46,22,90,90,18,99,18,13,76,85,12,62,14,57,36,44,0,84,90,24,83,2,19,91,17,97,51
3,81,56,52,68,58,9,13,42,23,3,28,84,38,12,86,25,77,87,84,0,36,1,15,55,77,3,46,56,91
41,31,53,10,41,81,33,75,25,80,70,84,29,93,77,1,23,43,42,90,36,0,11,52,68,21,60,96,49,27
9,82,41,30,43,88,52,26,43,39,46,61,5,66,28,88,25,76,48,24,1,11,0,96,49,44,81,5,90,33
68,86,94,76,63,71,33,59,30,53,61,49,8,20,49,62,47,55,40,83,15,52,96,0,45,27,66,44,48,44
4,48,95,93,35,27,61,17,69,82,64,10,85,30,32,49,69,26,96,2,55,68,49,45,0,84,51,21,66,42
81,97,88,75,58,29,9,62,86,34,2,99,92,36,67,99,53,4,34,19,77,21,44,27,84,0,91,68,76,48
67,81,60,1,38,78,88,26,9,4,36,33,94,91,66,79,23,84,4,91,3,60,81,66,51,91,0,52,35,28
77,49,56,69,48,44,65,29,61,27,65,17,2,27,60,52,51,62,43,17,46,96,5,44,21,68,52,0,29,12
22,69,10,14,5,16,50,99,30,40,46,19,92,18,33,9,23,71,85,97,56,49,90,48,66,76,35,29,0,50
91,54,25,30,87,68,38,66,69,47,11,23,4,39,73,3,62,66,74,51,91,27,33,44,42,48,28,12,50,0
