0,98,53,12,27,11,56,6,66,19,97,70,67,94,43
98,0,87,26,40,13,39,81,19,17,74,38,67,17,4
53,87,0,77,92,48,50,38,13,63,31,55,89,4,44
12,26,77,0,44,13,91,21,85,5,64,92,52,12,70
27,40,92,44,0,41,5,98,90,13,16,76,62,25,33
11,13,48,13,41,0,71,30,75,31,74,91,69,78,16
56,39,50,91,5,71,0,56,24,33,63,60,94,97,12
6,81,38,21,98,30,56,0,99,24,84,44,80,33,7
66,19,13,85,90,75,24,99,0,48,15,12,90,82,56
19,17,63,5,13,31,33,24,48,0,18,19,59,21,82
97,74,31,64,16,74,63,84,15,18,0,14,31,12,84
70,38,55,92,76,91,60,44,12,19,14,0,10,7,99
67,67,89,52,62,69,94,80,90,59,31,10,0,60,2
94,17,4,12,25,78,97,33,82,21,12,7,60,0,25
43,4,44,70,33,16,12,7,56,82,84,99,2,25,0
