0,15,61,44,23,35,55,26,76,24,5,99,33,95,20,19,26,34,20,98,45,70,98,60,89,52,36,75,56,86,63,60,40,88,36,31,39,42,76,62,66,68,44,70,16,90,86,97,36,66,71,65,45,3,85,77,38,68,52,8,97,34,3,94,81,19,33,43,92,60,59,75,7,11,81,18,90,69,77,37,99,28,71,99,31,39,43,72,52,97,60,26,57,67,88,48,25,75,88,18
15,0,84,65,67,39,12,48,30,64,29,42,17,19,10,21,62,72,33,2,8,86,45,54,26,85,28,12,25,58,37,28,38,23,6,47,92,20,79,93,69,95,36,48,36,79,8,13,98,2,63,29,3,73,92,93,41,86,62,53,5,42,25,30,45,93,88,23,70,47,68,78,3,67,92,91,1,17,45,4,18,3,69,72,95,68,44,55,26,98,85,75,83,72,64,68,72,53,24,52
61,84,0,59,6,66,64,74,39,57,90,90,70,43,14,55,36,70,95,38,83,57,5,86,74,44,3,80,54,28,69,4,44,10,57,2,56,41,52,28,99,91,37,19,60,10,98,87,31,78,6,28,54,44,10,39,55,24,38,87,90,51,53,90,33,77,20,30,58,53,21,31,30,39,10,59,12,49,87,24,31,99,21,79,14,23,19,12,59,91,19,55,12,24,2,38,34,66,40,58
44,65,59,0,96,87,4,28,45,7,96,30,2,63,22,84,7,49,38,30,59,81,36,11,89,43,60,9,99,28,19,45,47,72,93,64,84,21,42,12,77,92,94,87,70,12,30,81,87,20,90,79,75,72,78,39,15,69,38,54,79,35,55,79,47,95,42,39,78,80,94,50,83,84,26,66,3,32,60,3,41,88,41,56,15,51,36,91,17,36,7,43,76,96,73,17,9,83,22,57
23,67,6,96,0,96,9,76,56,46,86,72,38,27,62,85,78,78,28,83,4,7,71,78,93,25,33,66,30,99,80,96,87,90,24,99,70,69,6,12,82,33,6,17,15,85,14,10,58,96,85,78,41,15,80,42,35,18,77,62,34,85,90,38,22,86,10,62,61,99,73,98,22,41,3,44,52,9,72,88,63,73,97,54,16,73,9,75,98,18,54,10,41,10,47,50,71,52,58,79
35,39,66,87,96,0,55,44,2,90,30,44,2,97,75,43,90,52,17,97,31,33,85,42,6,60,23,37,52,44,26,54,83,5,67,45,98,87,70,43,63,50,87,50,77,2,36,62,56,58,34,40,78,25,73,30,67,63,43,76,78,98,70,13,48,9,15,5,15,61,98,56,20,49,58,17,89,77,20,17,1,10,37,96,97,66,46,6,65,31,60,34,38,28,48,18,4,32,46,31
55,12,64,4,9,55,0,12,36,40,75,48,9,15,9,34,48,69,53,90,25,20,16,52,37,35,25,67,15,22,17,18,83,19,85,69,12,26,58,50,36,20,69,37,71,47,16,87,40,78,39,87,10,81,17,52,71,78,90,79,66,11,40,53,80,94,12,86,38,99,66,54,98,67,7,8,93,76,35,26,61,11,2,18,17,41,37,11,17,2,78,12,91,14,13,83,88,43,61,13
26,48,74,28,76,44,12,0,68,22,73,23,80,25,66,53,31,64,13,64,64,35,61,49,51,27,17,7,69,89,6,13,20,23,59,26,86,32,44,83,66,96,52,1,96,46,89,80,63,61,23,81,33,37,10,91,31,17,57,77,87,86,17,54,64,20,41,85,56,72,28,42,64,57,98,41,29,9,95,27,23,45,36,34,7,9,45,4,5,12,74,71,47,14,71,82,38,16,43,54
76,30,39,45,56,2,36,68,0,47,11,61,12,24,90,74,66,39,13,94,67,95,54,75,59,56,46,89,2,79,37,94,4,3,78,45,83,38,89,82,8,49,95,39,46,18,30,34,62,1,22,67,2,44,68,61,38,42,7,82,26,80,89,52,40,63,78,57,22,91,93,90,33,58,45,45,94,44,52,93,8,52,4,50,32,99,92,42,56,22,58,31,79,23,85,94,19,13,15,88
24,64,57,7,46,90,40,22,47,0,27,49,10,39,88,88,37,74,47,85,9,97,27,76,19,10,3,54,6,49,15,27,60,67,47,45,7,36,3,23,30,9,75,21,83,12,91,80,11,8,9,55,73,71,72,26,6,64,69,2,34,51,52,14,67,26,61,58,48,69,37,30,72,85,42,82,91,78,85,92,36,33,94,13,46,35,38,86,69,31,39,59,64,58,69,46,38,27,34,86
5,29,90,96,86,30,75,73,11,27,0,57,5,56,80,54,12,49,19,96,31,1,94,18,29,95,52,88,32,46,23,5,90,48,54,52,68,89,36,90,70,27,33,69,38,36,79,74,54,18,95,10,62,65,6,67,56,67,9,86,8,24,5,28,57,64,20,8,12,76,8,64,79,46,58,86,52,89,7,1,2,90,75,95,39,38,5,48,85,75,64,22,7,74,19,56,39,46,18,64
99,42,90,30,72,44,48,23,61,49,57,0,20,78,61,80,17,33,4,57,56,52,90,6,8,91,78,67,23,29,50,30,66,65,96,16,93,22,91,73,53,16,69,18,13,60,8,22,48,79,97,86,92,54,24,26,42,69,72,85,68,24,10,28,80,74,22,85,76,73,63,88,93,1,43,48,90,10,86,84,54,28,1,93,82,94,96,10,50,14,83,59,15,84,44,89,94,97,90,34
33,17,70,2,38,2,9,80,12,10,5,20,0,56,45,42,12,72,61,91,30,45,1,3,82,79,12,85,55,16,72,92,6,31,25,97,58,76,67,96,3,62,67,30,44,25,7,76,91,55,4,57,70,36,23,13,95,85,29,77,3,41,34,81,31,16,63,22,51,7,39,15,52,56,65,93,33,42,55,66,54,87,76,50,72,36,41,37,11,63,3,19,30,34,13,77,35,86,80,27
95,19,43,63,27,97,15,25,24,39,56,78,56,0,33,45,13,48,14,40,86,82,67,85,35,55,99,20,85,50,53,38,33,29,12,16,54,60,20,81,40,48,79,23,26,1,25,93,82,44,79,53,80,20,21,53,41,21,43,90,36,24,46,82,93,48,19,27,68,51,87,51,92,54,66,94,31,88,39,26,50,4,67,52,18,32,14,68,6,38,34,50,80,7,65,58,36,13,41,81
20,10,14,22,62,75,9,66,90,88,80,61,45,33,0,55,66,6,94,95,38,68,30,49,40,26,24,13,80,58,95,22,44,15,68,57,57,38,77,56,10,23,20,90,58,9,32,72,59,16,64,24,98,62,37,76,8,74,78,16,52,62,79,64,1,53,78,99,84,39,76,77,38,3,48,19,34,75,53,5,91,44,41,86,7,3,10,70,59,2,6,15,65,87,96,95,3,68,15,98
